날짜,요일,시간대,메뉴,카테고리,온도,가격,계절,날씨,특별한날
2024-03-25,월,아침(09-11시),카라멜마끼아또,커피,ICED,5800,봄,맑음,-
2024-08-12,월,밤(20-22시),얼그레이,차,ICED,4500,여름,흐림,-
2024-08-08,목,오후(14-17시),카라멜마끼아또,커피,ICED,5800,여름,비,-
2024-03-15,금,아침(09-11시),아메리카노,커피,ICED,5000,봄,흐림,-
2024-10-19,토,아침(09-11시),카페라떼,커피,ICED,5500,가을,흐림,-
2024-02-27,화,아침(09-11시),아메리카노,커피,HOT,5500,겨울,맑음,-
2024-09-15,일,저녁(17-20시),망고스무디,논커피,ICED,6500,가을,맑음,-
2024-07-16,화,저녁(17-20시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-12-05,목,점심(11-14시),크로와상,디저트,-,3800,겨울,맑음,-
2024-12-06,금,아침(09-11시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-03-08,금,점심(11-14시),카페라떼,커피,HOT,5000,봄,비,-
2024-02-21,수,점심(11-14시),카페라떼,커피,HOT,5000,겨울,흐림,-
2024-10-08,화,점심(11-14시),초콜릿라떼,논커피,HOT,6300,가을,비,-
2024-02-11,일,점심(11-14시),아메리카노,커피,ICED,4500,겨울,흐림,-
2024-10-23,수,밤(20-22시),녹차라떼,논커피,HOT,5500,가을,맑음,-
2024-06-09,일,저녁(17-20시),아메리카노,커피,ICED,5500,여름,맑음,-
2024-07-24,수,저녁(17-20시),딸기스무디,논커피,ICED,6500,여름,흐림,-
2024-05-02,목,오후(14-17시),바닐라라떼,커피,ICED,5500,봄,맑음,-
2024-02-20,화,점심(11-14시),아메리카노,커피,HOT,4500,겨울,비,-
2024-06-15,토,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-11-18,월,점심(11-14시),바닐라라떼,커피,ICED,5500,가을,맑음,-
2024-07-20,토,저녁(17-20시),카라멜마끼아또,커피,HOT,5800,여름,맑음,-
2024-10-08,화,아침(09-11시),치즈케이크,디저트,-,6500,가을,비,-
2024-07-11,목,저녁(17-20시),초콜릿라떼,논커피,ICED,5800,여름,맑음,-
2024-07-10,수,저녁(17-20시),아메리카노,커피,ICED,5500,여름,맑음,-
2024-09-07,토,점심(11-14시),아메리카노,커피,ICED,4500,가을,비,-
2024-04-23,화,오후(14-17시),카라멜마끼아또,커피,HOT,5800,봄,흐림,-
2024-02-28,수,저녁(17-20시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-12-02,월,아침(09-11시),카라멜마끼아또,커피,ICED,6800,겨울,맑음,-
2024-05-17,금,아침(09-11시),카페라떼,커피,ICED,6000,봄,맑음,-
2024-08-01,목,아침(09-11시),망고스무디,논커피,ICED,6500,여름,맑음,-
2024-07-13,토,아침(09-11시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-10-09,수,저녁(17-20시),카푸치노,커피,ICED,5000,가을,흐림,-
2024-04-01,월,아침(09-11시),카페라떼,커피,ICED,5000,봄,흐림,-
2024-09-11,수,저녁(17-20시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-03-19,화,저녁(17-20시),치즈케이크,디저트,-,6500,봄,맑음,-
2024-06-03,월,점심(11-14시),카페라떼,커피,ICED,6000,여름,흐림,-
2024-03-14,목,오후(14-17시),마카롱,디저트,-,4500,봄,맑음,화이트데이
2024-09-25,수,아침(09-11시),아메리카노,커피,ICED,4500,가을,흐림,-
2024-10-17,목,오후(14-17시),카페라떼,커피,HOT,5500,가을,맑음,-
2024-08-04,일,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-03-17,일,아침(09-11시),녹차라떼,논커피,HOT,6000,봄,맑음,-
2024-06-25,화,오후(14-17시),아메리카노,커피,HOT,5500,여름,맑음,-
2024-06-29,토,점심(11-14시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-05-20,월,오후(14-17시),카페라떼,커피,ICED,5500,봄,맑음,-
2024-03-20,수,밤(20-22시),카푸치노,커피,ICED,5000,봄,맑음,-
2024-03-06,수,오후(14-17시),아메리카노,커피,HOT,5000,봄,맑음,-
2024-10-23,수,오후(14-17시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-05-31,금,점심(11-14시),마카롱,디저트,-,3500,봄,흐림,-
2024-08-31,토,점심(11-14시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-08-23,금,아침(09-11시),마카롱,디저트,-,3500,여름,맑음,-
2024-11-08,금,밤(20-22시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-04-14,일,오후(14-17시),아메리카노,커피,ICED,4500,봄,맑음,-
2024-12-21,토,점심(11-14시),아메리카노,커피,ICED,4500,겨울,맑음,-
2024-07-02,화,오후(14-17시),바닐라라떼,커피,ICED,5500,여름,맑음,-
2024-07-21,일,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-06-23,일,점심(11-14시),티라미수,디저트,-,6800,여름,흐림,-
2024-11-25,월,아침(09-11시),카푸치노,커피,HOT,5000,가을,맑음,-
2024-03-05,화,저녁(17-20시),카페라떼,커피,ICED,5000,봄,흐림,-
2024-05-07,화,오후(14-17시),아메리카노,커피,ICED,4500,봄,비,-
2024-09-05,목,아침(09-11시),카라멜마끼아또,커피,ICED,5800,가을,비,-
2024-10-20,일,점심(11-14시),티라미수,디저트,-,7800,가을,비,-
2024-10-18,금,아침(09-11시),딸기스무디,논커피,ICED,6500,가을,맑음,-
2024-12-24,화,점심(11-14시),바닐라라떼,커피,ICED,5500,겨울,비,크리스마스 이브
2024-09-17,화,밤(20-22시),카푸치노,커피,ICED,5500,가을,맑음,-
2024-12-29,일,점심(11-14시),캐모마일,차,HOT,4500,겨울,비,-
2024-02-12,월,오후(14-17시),카푸치노,커피,HOT,5000,겨울,흐림,-
2024-03-01,금,아침(09-11시),카푸치노,커피,HOT,5000,봄,흐림,-
2024-06-14,금,점심(11-14시),카페라떼,커피,ICED,5500,여름,흐림,-
2024-07-15,월,점심(11-14시),카페라떼,커피,ICED,5500,여름,맑음,-
2024-11-23,토,아침(09-11시),카라멜마끼아또,커피,ICED,5800,가을,맑음,-
2024-10-29,화,밤(20-22시),얼그레이,차,HOT,4500,가을,맑음,-
2024-01-05,금,아침(09-11시),카푸치노,커피,ICED,6000,겨울,흐림,-
2024-12-26,목,아침(09-11시),아메리카노,커피,HOT,5500,겨울,눈,-
2024-06-08,토,저녁(17-20시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-03-03,일,점심(11-14시),초콜릿라떼,논커피,HOT,6300,봄,맑음,-
2024-10-25,금,점심(11-14시),아메리카노,커피,HOT,4500,가을,흐림,-
2024-01-25,목,오후(14-17시),아메리카노,커피,HOT,4500,겨울,눈,-
2024-09-13,금,아침(09-11시),바닐라라떼,커피,ICED,6500,가을,맑음,-
2024-07-09,화,아침(09-11시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-04-08,월,아침(09-11시),아메리카노,커피,ICED,4500,봄,흐림,-
2024-10-05,토,점심(11-14시),아메리카노,커피,ICED,5500,가을,흐림,-
2024-07-09,화,점심(11-14시),얼그레이,차,ICED,4500,여름,맑음,-
2024-05-14,화,아침(09-11시),크로와상,디저트,-,3800,봄,맑음,-
2024-06-08,토,저녁(17-20시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-02-19,월,오후(14-17시),치즈케이크,디저트,-,6500,겨울,맑음,-
2024-12-21,토,저녁(17-20시),크로와상,디저트,-,3800,겨울,맑음,-
2024-02-12,월,오후(14-17시),아메리카노,커피,HOT,4500,겨울,흐림,-
2024-12-17,화,아침(09-11시),녹차라떼,논커피,HOT,5500,겨울,맑음,-
2024-03-11,월,아침(09-11시),카페라떼,커피,ICED,5000,봄,흐림,-
2024-07-23,화,아침(09-11시),카라멜마끼아또,커피,ICED,5800,여름,흐림,-
2024-01-20,토,오후(14-17시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-08-31,토,오후(14-17시),바닐라라떼,커피,ICED,6000,여름,맑음,-
2024-01-05,금,오후(14-17시),카푸치노,커피,HOT,5000,겨울,흐림,-
2024-12-07,토,저녁(17-20시),크로와상,디저트,-,3800,겨울,비,-
2024-05-11,토,아침(09-11시),바닐라라떼,커피,HOT,5500,봄,맑음,-
2024-07-14,일,밤(20-22시),마카롱,디저트,-,3500,여름,맑음,-
2024-05-01,수,점심(11-14시),마카롱,디저트,-,3500,봄,흐림,-
2024-11-18,월,점심(11-14시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-03-06,수,점심(11-14시),아메리카노,커피,HOT,5500,봄,맑음,-
2024-12-22,일,저녁(17-20시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-07-11,목,점심(11-14시),티라미수,디저트,-,6800,여름,맑음,-
2024-04-09,화,저녁(17-20시),티라미수,디저트,-,6800,봄,맑음,-
2024-12-14,토,점심(11-14시),초콜릿라떼,논커피,HOT,6300,겨울,맑음,-
2024-12-25,수,아침(09-11시),얼그레이,차,ICED,4500,겨울,맑음,크리스마스
2024-10-03,목,아침(09-11시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-03-16,토,오후(14-17시),카페라떼,커피,HOT,6000,봄,비,-
2024-01-27,토,점심(11-14시),카페라떼,커피,HOT,5000,겨울,흐림,-
2024-02-05,월,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-10-15,화,저녁(17-20시),바닐라라떼,커피,HOT,5500,가을,맑음,-
2024-11-12,화,저녁(17-20시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-03-21,목,오후(14-17시),망고스무디,논커피,ICED,6500,봄,맑음,-
2024-07-14,일,점심(11-14시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-02-03,토,오후(14-17시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-04-20,토,아침(09-11시),바닐라라떼,커피,ICED,5500,봄,맑음,-
2024-01-01,월,오후(14-17시),티라미수,디저트,-,7800,겨울,맑음,새해
2024-09-17,화,저녁(17-20시),아메리카노,커피,HOT,4500,가을,맑음,-
2024-06-21,금,아침(09-11시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-05-25,토,오후(14-17시),바닐라라떼,커피,HOT,5500,봄,맑음,-
2024-07-28,일,오후(14-17시),치즈케이크,디저트,-,7000,여름,흐림,-
2024-02-10,토,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-05-05,일,점심(11-14시),초콜릿라떼,논커피,HOT,6800,봄,흐림,-
2024-03-10,일,오후(14-17시),카라멜마끼아또,커피,HOT,5800,봄,맑음,-
2024-07-01,월,오후(14-17시),캐모마일,차,HOT,4500,여름,맑음,-
2024-09-24,화,오후(14-17시),녹차라떼,논커피,HOT,5500,가을,맑음,-
2024-09-11,수,저녁(17-20시),카푸치노,커피,HOT,5000,가을,맑음,-
2024-10-27,일,점심(11-14시),카라멜마끼아또,커피,ICED,6800,가을,맑음,-
2024-03-31,일,아침(09-11시),딸기스무디,논커피,ICED,6500,봄,비,-
2024-09-26,목,오후(14-17시),망고스무디,논커피,ICED,6500,가을,맑음,-
2024-03-17,일,아침(09-11시),카라멜마끼아또,커피,HOT,6300,봄,맑음,-
2024-08-17,토,점심(11-14시),카푸치노,커피,ICED,5000,여름,흐림,-
2024-12-01,일,점심(11-14시),카라멜마끼아또,커피,HOT,5800,겨울,눈,-
2024-11-19,화,아침(09-11시),티라미수,디저트,-,6800,가을,흐림,-
2024-05-12,일,저녁(17-20시),카페라떼,커피,ICED,5000,봄,맑음,-
2024-08-24,토,오후(14-17시),티라미수,디저트,-,6800,여름,맑음,-
2024-06-15,토,저녁(17-20시),티라미수,디저트,-,6800,여름,맑음,-
2024-01-19,금,밤(20-22시),티라미수,디저트,-,6800,겨울,맑음,-
2024-08-05,월,오후(14-17시),크로와상,디저트,-,3800,여름,흐림,-
2024-11-24,일,점심(11-14시),바닐라라떼,커피,ICED,5500,가을,맑음,-
2024-07-02,화,점심(11-14시),카페라떼,커피,ICED,5500,여름,맑음,-
2024-09-28,토,밤(20-22시),얼그레이,차,HOT,4500,가을,맑음,-
2024-01-09,화,밤(20-22시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-07-31,수,밤(20-22시),바닐라라떼,커피,ICED,5500,여름,흐림,-
2024-09-14,토,점심(11-14시),크로와상,디저트,-,3800,가을,맑음,-
2024-04-14,일,점심(11-14시),아메리카노,커피,ICED,5500,봄,맑음,-
2024-12-14,토,오후(14-17시),초콜릿라떼,논커피,ICED,6300,겨울,맑음,-
2024-06-04,화,점심(11-14시),카페라떼,커피,HOT,5000,여름,맑음,-
2024-10-07,월,아침(09-11시),치즈케이크,디저트,-,6500,가을,비,-
2024-12-03,화,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,흐림,-
2024-05-31,금,저녁(17-20시),녹차라떼,논커피,ICED,5500,봄,흐림,-
2024-03-10,일,저녁(17-20시),크로와상,디저트,-,3800,봄,맑음,-
2024-07-13,토,아침(09-11시),카라멜마끼아또,커피,ICED,6300,여름,흐림,-
2024-03-13,수,저녁(17-20시),바닐라라떼,커피,HOT,5500,봄,흐림,-
2024-06-23,일,점심(11-14시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-10-19,토,점심(11-14시),초콜릿라떼,논커피,HOT,5800,가을,흐림,-
2024-07-05,금,저녁(17-20시),캐모마일,차,HOT,4500,여름,흐림,-
2024-02-06,화,오후(14-17시),크로와상,디저트,-,3800,겨울,맑음,-
2024-07-05,금,저녁(17-20시),티라미수,디저트,-,7300,여름,흐림,-
2024-03-10,일,점심(11-14시),크로와상,디저트,-,4300,봄,맑음,-
2024-09-01,일,오후(14-17시),카페라떼,커피,HOT,5500,가을,흐림,-
2024-10-01,화,아침(09-11시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-02-02,금,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-06-09,일,저녁(17-20시),바닐라라떼,커피,ICED,5500,여름,맑음,-
2024-03-08,금,아침(09-11시),카푸치노,커피,ICED,5000,봄,비,-
2024-04-23,화,오후(14-17시),크로와상,디저트,-,3800,봄,흐림,-
2024-04-10,수,오후(14-17시),카페라떼,커피,ICED,5500,봄,맑음,-
2024-12-08,일,오후(14-17시),아메리카노,커피,ICED,5500,겨울,맑음,-
2024-05-04,토,오후(14-17시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-12-30,월,점심(11-14시),초콜릿라떼,논커피,HOT,5800,겨울,맑음,-
2024-10-09,수,밤(20-22시),바닐라라떼,커피,ICED,5500,가을,흐림,-
2024-07-17,수,오후(14-17시),카페라떼,커피,ICED,5000,여름,비,-
2024-10-09,수,점심(11-14시),카페라떼,커피,HOT,5000,가을,흐림,-
2024-06-14,금,점심(11-14시),아메리카노,커피,HOT,4500,여름,흐림,-
2024-08-21,수,저녁(17-20시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-07-17,수,오후(14-17시),아메리카노,커피,HOT,5000,여름,비,-
2024-03-24,일,점심(11-14시),크로와상,디저트,-,3800,봄,맑음,-
2024-04-23,화,점심(11-14시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-07-23,화,아침(09-11시),카페라떼,커피,HOT,5500,여름,흐림,-
2024-10-06,일,저녁(17-20시),바닐라라떼,커피,HOT,5500,가을,맑음,-
2024-11-22,금,점심(11-14시),딸기스무디,논커피,ICED,7000,가을,흐림,-
2024-06-05,수,아침(09-11시),얼그레이,차,ICED,4500,여름,비,-
2024-06-04,화,저녁(17-20시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-11-25,월,점심(11-14시),초콜릿라떼,논커피,HOT,5800,가을,맑음,-
2024-07-26,금,저녁(17-20시),아메리카노,커피,ICED,4500,여름,비,-
2024-05-06,월,아침(09-11시),딸기스무디,논커피,ICED,6500,봄,흐림,-
2024-11-23,토,점심(11-14시),망고스무디,논커피,ICED,7000,가을,맑음,-
2024-12-08,일,오후(14-17시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-07-28,일,점심(11-14시),카페라떼,커피,ICED,5500,여름,흐림,-
2024-07-27,토,밤(20-22시),카푸치노,커피,ICED,5500,여름,맑음,-
2024-03-02,토,저녁(17-20시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-10-12,토,오후(14-17시),카푸치노,커피,ICED,5000,가을,흐림,-
2024-10-12,토,점심(11-14시),카푸치노,커피,HOT,5000,가을,흐림,-
2024-05-04,토,저녁(17-20시),카푸치노,커피,HOT,5000,봄,흐림,-
2024-03-25,월,점심(11-14시),카페라떼,커피,ICED,5000,봄,맑음,-
2024-07-31,수,아침(09-11시),바닐라라떼,커피,ICED,5500,여름,흐림,-
2024-04-19,금,오후(14-17시),아메리카노,커피,ICED,4500,봄,맑음,-
2024-11-12,화,오후(14-17시),아메리카노,커피,HOT,4500,가을,맑음,-
2024-05-25,토,저녁(17-20시),초콜릿라떼,논커피,HOT,5800,봄,맑음,-
2024-08-25,일,저녁(17-20시),얼그레이,차,ICED,5000,여름,맑음,-
2024-12-30,월,점심(11-14시),바닐라라떼,커피,HOT,6000,겨울,맑음,-
2024-09-28,토,점심(11-14시),망고스무디,논커피,ICED,7000,가을,맑음,-
2024-03-27,수,아침(09-11시),카라멜마끼아또,커피,ICED,5800,봄,맑음,-
2024-09-28,토,저녁(17-20시),크로와상,디저트,-,3800,가을,맑음,-
2024-02-15,목,아침(09-11시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-11-10,일,밤(20-22시),바닐라라떼,커피,HOT,6500,가을,맑음,-
2024-12-27,금,점심(11-14시),초콜릿라떼,논커피,HOT,6800,겨울,맑음,-
2024-02-24,토,오후(14-17시),망고스무디,논커피,ICED,6500,겨울,흐림,-
2024-07-08,월,점심(11-14시),티라미수,디저트,-,6800,여름,흐림,-
2024-11-22,금,저녁(17-20시),바닐라라떼,커피,ICED,6500,가을,흐림,-
2024-05-25,토,점심(11-14시),바닐라라떼,커피,ICED,6500,봄,맑음,-
2024-09-02,월,아침(09-11시),얼그레이,차,HOT,5000,가을,흐림,-
2024-02-11,일,아침(09-11시),아메리카노,커피,HOT,5000,겨울,흐림,-
2024-07-27,토,저녁(17-20시),초콜릿라떼,논커피,ICED,5800,여름,맑음,-
2024-06-25,화,오후(14-17시),크로와상,디저트,-,3800,여름,맑음,-
2024-04-17,수,저녁(17-20시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-04-06,토,점심(11-14시),바닐라라떼,커피,HOT,5500,봄,비,-
2024-12-27,금,점심(11-14시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-07-16,화,오후(14-17시),마카롱,디저트,-,4000,여름,맑음,-
2024-06-14,금,오후(14-17시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-04-27,토,저녁(17-20시),딸기스무디,논커피,ICED,6500,봄,흐림,-
2024-05-03,금,저녁(17-20시),카푸치노,커피,ICED,5500,봄,흐림,-
2024-10-25,금,밤(20-22시),아메리카노,커피,HOT,4500,가을,흐림,-
2024-08-07,수,오후(14-17시),바닐라라떼,커피,HOT,5500,여름,맑음,-
2024-03-12,화,점심(11-14시),초콜릿라떼,논커피,ICED,6300,봄,맑음,-
2024-12-02,월,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-02-17,토,오후(14-17시),아메리카노,커피,HOT,4500,겨울,흐림,-
2024-04-09,화,아침(09-11시),카푸치노,커피,ICED,5000,봄,맑음,-
2024-08-30,금,아침(09-11시),초콜릿라떼,논커피,ICED,6300,여름,흐림,-
2024-05-21,화,점심(11-14시),카페라떼,커피,HOT,5500,봄,맑음,-
2024-11-24,일,오후(14-17시),바닐라라떼,커피,ICED,6500,가을,맑음,-
2024-02-20,화,아침(09-11시),마카롱,디저트,-,3500,겨울,비,-
2024-07-10,수,오후(14-17시),카페라떼,커피,ICED,5500,여름,맑음,-
2024-06-01,토,아침(09-11시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-07-28,일,오후(14-17시),카페라떼,커피,HOT,5000,여름,흐림,-
2024-08-15,목,아침(09-11시),초콜릿라떼,논커피,HOT,5800,여름,비,-
2024-06-26,수,저녁(17-20시),아메리카노,커피,ICED,5000,여름,맑음,-
2024-05-02,목,아침(09-11시),아메리카노,커피,HOT,5000,봄,맑음,-
2024-04-28,일,점심(11-14시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-03-01,금,저녁(17-20시),카푸치노,커피,HOT,5500,봄,흐림,-
2024-05-10,금,아침(09-11시),바닐라라떼,커피,ICED,5500,봄,맑음,-
2024-06-28,금,아침(09-11시),얼그레이,차,ICED,5500,여름,맑음,-
2024-08-03,토,점심(11-14시),바닐라라떼,커피,ICED,5500,여름,흐림,-
2024-12-10,화,오후(14-17시),카페라떼,커피,HOT,5500,겨울,비,-
2024-06-19,수,밤(20-22시),바닐라라떼,커피,ICED,6500,여름,맑음,-
